Matricula  3198-WJG, Tipo: Moto, Hora salida: 09:52:58, Gasto: 8,29
Matricula  3472-EJE, Tipo: Moto, Hora salida: 09:53:08, Gasto: 11,64
Matricula  5657-IUB, Tipo: Moto, Hora salida: 09:53:09, Gasto: 13,72
Matricula  7200-HRS, Tipo: Moto, Hora salida: 09:53:09, Gasto: 22,13
Matricula  7462-NSS, Tipo: Moto, Hora salida: 09:53:10, Gasto: 8,77
Matricula  2052-MWT, Tipo: Moto, Hora salida: 09:53:10, Gasto: 26,98
Matricula  4519-QTU, Tipo: Moto, Hora salida: 09:53:11, Gasto: 16,74
Matricula  2600-TKI, Tipo: Moto, Hora salida: 09:53:11, Gasto: 19,78
Matricula  1130-TLG, Tipo: Moto, Hora salida: 09:53:12, Gasto: 3,66
Matricula  7930-WRA, Tipo: Moto, Hora salida: 09:53:12, Gasto: 28,39
Matricula  9300-EPY, Tipo: Moto, Hora salida: 09:53:14, Gasto: 24,23
Matricula  9231-HHL, Tipo: Moto, Hora salida: 09:53:14, Gasto: 14,99
Matricula  7188-ZYY, Tipo: Moto, Hora salida: 09:53:15, Gasto: 4,40
Matricula  3917-RAM, Tipo: Moto, Hora salida: 09:53:16, Gasto: 30,28
Matricula  6334-SEU, Tipo: Moto, Hora salida: 09:53:16, Gasto: 11,48
Matricula  5811-XNS, Tipo: Moto, Hora salida: 09:53:18, Gasto: 10,43
Matricula  1300-JRX, Tipo: Moto, Hora salida: 09:53:19, Gasto: 5,29
Matricula  6115-ZTJ, Tipo: Moto, Hora salida: 09:53:20, Gasto: 19,36
Matricula  8438-TSR, Tipo: Moto, Hora salida: 09:53:20, Gasto: 26,99
Matricula  3524-VXB, Tipo: Moto, Hora salida: 09:53:21, Gasto: 6,09
Matricula  0309-DRF, Tipo: Moto, Hora salida: 09:53:21, Gasto: 21,10
Matricula  4730-EMF, Tipo: Moto, Hora salida: 09:53:23, Gasto: 30,57
Matricula  4373-HVI, Tipo: Moto, Hora salida: 09:53:23, Gasto: 14,82
Matricula  5598-SJI, Tipo: Moto, Hora salida: 09:53:24, Gasto: 9,32
Matricula  9072-YJF, Tipo: Moto, Hora salida: 09:53:26, Gasto: 30,70
Matricula  5252-OAD, Tipo: Moto, Hora salida: 09:53:26, Gasto: 11,44
Matricula  7434-YRT, Tipo: Electrico, Hora salida: 09:53:30, Gasto: 6,77
Matricula  8956-PJW, Tipo: Moto, Hora salida: 09:53:31, Gasto: 30,43
Matricula  9708-YCB, Tipo: Moto, Hora salida: 09:53:31, Gasto: 24,56
Matricula  9265-AOW, Tipo: Electrico, Hora salida: 09:53:32, Gasto: 15,62
Matricula  3074-OVR, Tipo: Electrico, Hora salida: 09:53:35, Gasto: 15,10
Matricula  1274-ECO, Tipo: Electrico, Hora salida: 09:53:35, Gasto: 7,95
Matricula  9251-WGI, Tipo: Electrico, Hora salida: 09:53:36, Gasto: 6,92
Matricula  2922-RCW, Tipo: Moto, Hora salida: 09:53:36, Gasto: 24,25
Matricula  5988-DRE, Tipo: Electrico, Hora salida: 09:53:37, Gasto: 19,20
Matricula  1181-WWL, Tipo: Electrico, Hora salida: 09:53:37, Gasto: 4,26
Matricula  9663-ZXT, Tipo: Electrico, Hora salida: 09:53:38, Gasto: 7,38
Matricula  0963-UNH, Tipo: Moto, Hora salida: 09:53:38, Gasto: 26,31
Matricula  7349-MIO, Tipo: Electrico, Hora salida: 09:53:39, Gasto: 4,32
Matricula  3867-UIN, Tipo: Electrico, Hora salida: 09:53:40, Gasto: 26,27
Matricula  5916-HRZ, Tipo: Electrico, Hora salida: 09:53:42, Gasto: 21,00
Matricula  0571-BSI, Tipo: Electrico, Hora salida: 09:53:46, Gasto: 6,36
Matricula  0215-GXF, Tipo: Electrico, Hora salida: 09:53:46, Gasto: 26,65
Matricula  3422-SBO, Tipo: Electrico, Hora salida: 09:53:48, Gasto: 32,18
Matricula  8300-MRA, Tipo: Electrico, Hora salida: 09:53:48, Gasto: 20,45
Matricula  3109-BRF, Tipo: Electrico, Hora salida: 09:53:49, Gasto: 11,54
Matricula  0823-TCV, Tipo: Electrico, Hora salida: 09:53:49, Gasto: 14,17
Matricula  5376-KUI, Tipo: Electrico, Hora salida: 09:53:51, Gasto: 29,51
Matricula  7288-VJE, Tipo: Electrico, Hora salida: 09:53:52, Gasto: 10,03
Matricula  3552-YHR, Tipo: Electrico, Hora salida: 09:53:52, Gasto: 11,67
Matricula  4589-NWW, Tipo: Electrico, Hora salida: 09:53:53, Gasto: 5,66
Matricula  2903-FWB, Tipo: Electrico, Hora salida: 09:53:54, Gasto: 26,71
Matricula  0046-ZFM, Tipo: Electrico, Hora salida: 09:53:56, Gasto: 15,83
Matricula  3463-IGX, Tipo: Electrico, Hora salida: 09:53:57, Gasto: 21,05
Matricula  9901-AYV, Tipo: Electrico, Hora salida: 09:53:57, Gasto: 27,35
Matricula  3876-CIM, Tipo: Electrico, Hora salida: 09:53:58, Gasto: 14,38
Matricula  0095-PPX, Tipo: Electrico, Hora salida: 09:53:59, Gasto: 32,67
Matricula  2195-NYC, Tipo: Electrico, Hora salida: 09:54:00, Gasto: 7,16
Matricula  6928-NYN, Tipo: Electrico, Hora salida: 09:54:00, Gasto: 6,78
Matricula  2485-LNQ, Tipo: Electrico, Hora salida: 09:54:04, Gasto: 11,18
Matricula  0560-PXA, Tipo: Electrico, Hora salida: 09:54:05, Gasto: 15,81
Matricula  5854-BXQ, Tipo: Electrico, Hora salida: 09:54:05, Gasto: 19,85
Matricula  0834-DLI, Tipo: Electrico, Hora salida: 09:54:06, Gasto: 19,68
Matricula  9788-SPT, Tipo: Electrico, Hora salida: 09:54:06, Gasto: 29,20
Matricula  8130-NKR, Tipo: Electrico, Hora salida: 09:54:07, Gasto: 27,31
Matricula  4211-QVT, Tipo: Electrico, Hora salida: 09:54:07, Gasto: 7,49
Matricula  8278-LBC, Tipo: Electrico, Hora salida: 09:54:09, Gasto: 3,72
Matricula  4418-IDV, Tipo: Electrico, Hora salida: 09:54:10, Gasto: 14,12
Matricula  7616-OHU, Tipo: Electrico, Hora salida: 09:54:11, Gasto: 13,82
Matricula  8169-OHL, Tipo: Electrico, Hora salida: 09:54:11, Gasto: 30,80
Matricula  4283-AWC, Tipo: Electrico, Hora salida: 09:54:12, Gasto: 8,46
Matricula  0376-XQD, Tipo: Electrico, Hora salida: 09:54:14, Gasto: 13,94
Matricula  1700-XEJ, Tipo: Electrico, Hora salida: 09:54:14, Gasto: 21,54
Matricula  8988-BSQ, Tipo: Electrico, Hora salida: 09:54:16, Gasto: 3,27
Matricula  6640-IWR, Tipo: Electrico, Hora salida: 09:54:16, Gasto: 10,12
Matricula  4921-BVN, Tipo: Electrico, Hora salida: 09:54:18, Gasto: 29,83
Matricula  2787-FPK, Tipo: Electrico, Hora salida: 09:54:19, Gasto: 32,11
Matricula  3351-YHQ, Tipo: Electrico, Hora salida: 09:54:19, Gasto: 23,14
Matricula  6190-WSB, Tipo: Electrico, Hora salida: 09:54:20, Gasto: 17,29
Matricula  3302-UBF, Tipo: Electrico, Hora salida: 09:54:20, Gasto: 11,07
Matricula  9839-CHB, Tipo: Electrico, Hora salida: 09:54:23, Gasto: 21,12
Matricula  5672-FHK, Tipo: Electrico, Hora salida: 09:54:24, Gasto: 19,14
Matricula  7139-UNM, Tipo: Electrico, Hora salida: 09:54:25, Gasto: 15,85
Matricula  8816-HTD, Tipo: Electrico, Hora salida: 09:54:26, Gasto: 14,11
Matricula  1523-XHS, Tipo: Electrico, Hora salida: 09:54:27, Gasto: 16,27
Matricula  1143-FAN, Tipo: Electrico, Hora salida: 09:54:27, Gasto: 7,80
Matricula  6797-LYL, Tipo: Electrico, Hora salida: 09:54:28, Gasto: 24,88
Matricula  7275-ZZC, Tipo: Electrico, Hora salida: 09:54:33, Gasto: 20,74
Matricula  4301-JQV, Tipo: Electrico, Hora salida: 09:54:35, Gasto: 10,31
Matricula  1064-BLA, Tipo: Electrico, Hora salida: 09:54:35, Gasto: 4,75
Matricula  1597-SIC, Tipo: Electrico, Hora salida: 09:54:36, Gasto: 25,81
Matricula  6705-QHZ, Tipo: Electrico, Hora salida: 09:54:36, Gasto: 10,51
Matricula  7168-PPW, Tipo: Electrico, Hora salida: 09:54:37, Gasto: 15,14
Matricula  3086-ALA, Tipo: Electrico, Hora salida: 09:54:37, Gasto: 26,04
Matricula  3726-RTK, Tipo: Electrico, Hora salida: 09:54:38, Gasto: 14,42
Matricula  7003-BDK, Tipo: Electrico, Hora salida: 09:54:41, Gasto: 26,14
Matricula  6594-ZZB, Tipo: Electrico, Hora salida: 09:54:42, Gasto: 31,56
Matricula  1733-UID, Tipo: Electrico, Hora salida: 09:54:42, Gasto: 29,10
Matricula  3811-WGQ, Tipo: Electrico, Hora salida: 09:54:43, Gasto: 3,55
Matricula  3408-IWT, Tipo: Electrico, Hora salida: 09:54:45, Gasto: 17,93
